Tn,k,time,Ia,Ib,Ic,Vbc,Torque,Speed,Category
26.71,0.0009484,0,0,0,0,0,0,16.4493406684823,B-C
26.71,0.0009484,0.0005,0,0,0,0,-0.0093869385039334,16.3314076313898,B-C
26.71,0.0009484,0.001,0,0,0,0,0.218157056687503,16.2155073297907,B-C
26.71,0.0009484,0.0015,0,0,0,0,-0.0489961331552808,16.101499048976,B-C
26.71,0.0009484,0.002,0,0,0,0,-0.0712116924075532,15.9883873899918,B-C
26.71,0.0009484,0.0025,0,0,0,0,-0.276051889008807,15.8766930397225,B-C
26.71,0.0009484,0.003,0,0,0,0,-2.12043146447376,15.7624277097752,B-C
26.71,0.0009484,0.0035,0,0,0,0,-1.47387145111655,15.6474090040566,B-C
26.71,0.0009484,0.004,0,0,0,0,-5.51148986097218,15.525395445648,B-C
26.71,0.0009484,0.0045,0,0,0,0,-5.10372349393853,15.3997662366779,B-C
26.71,0.0009484,0.005,0,0,0,0,-9.76184004675268,15.263840034092,B-C
26.71,0.0009484,0.0055,0,0,0,0,-12.1443371562867,15.1195617815167,B-C
26.71,0.0009484,0.006,0,0,0,0,-14.4704954886203,14.9641132702594,B-C
26.71,0.0009484,0.0065,0,0,0,0,-21.6877370189325,14.7962856054342,B-C
26.71,0.0009484,0.007,0,0,0,0,-19.6570254048646,14.6144899019759,B-C
26.71,0.0009484,0.0075,0,0,0,0,-30.8389267897266,14.4254819657632,B-C
26.71,0.0009484,0.008,0,0,0,0,-28.1262146506417,14.2168497979339,B-C
26.71,0.0009484,0.0085,0,0,0,0,-36.4502767301915,14.009540532249,B-C
26.71,0.0009484,0.009,0,0,0,0,-35.8172999778879,13.7810498524003,B-C
26.71,0.0009484,0.0095,0,0,0,0,-37.3610827209109,13.5589614938559,B-C
26.71,0.0009484,0.01,0,0,0,0,-42.1410965193504,13.3195675726729,B-C
26.71,0.0009484,0.0105,0,0,0,0,-35.0991469666939,13.092237354042,B-C
