Tn,k,time,Ia,Ib,Ic,Vbc,Torque,Speed,Category
26.71,0.0009484,0,0,0,0,0,0,16.4493406684823,NOM
26.71,0.0009484,0.0005,0,0,0,0,-0.00938693859667333,16.3314076313897,NOM
26.71,0.0009484,0.001,0,0,0,0,0.218157055604636,16.2155073297909,NOM
26.71,0.0009484,0.0015,0,0,0,0,-0.0489961350727849,16.1014990489691,NOM
26.71,0.0009484,0.002,0,0,0,0,-0.0712116971751807,15.9883873899712,NOM
26.71,0.0009484,0.0025,0,0,0,0,-0.276051902019242,15.8766930396661,NOM
26.71,0.0009484,0.003,0,0,0,0,-2.12043147365711,15.7624277096744,NOM
26.71,0.0009484,0.0035,0,0,0,0,-1.47387148865976,15.6474090038677,NOM
26.71,0.0009484,0.004,0,0,0,0,-5.51148988414505,15.5253954453387,NOM
26.71,0.0009484,0.0045,0,0,0,0,-5.10372351651263,15.399766236283,NOM
26.71,0.0009484,0.005,0,0,0,0,-9.7618400912256,15.2638400335484,NOM
26.71,0.0009484,0.0055,0,0,0,0,-12.1443372021888,15.1195617808034,NOM
26.71,0.0009484,0.006,0,0,0,0,-14.4704955503698,14.9641132693174,NOM
26.71,0.0009484,0.0065,0,0,0,0,-21.6877370908984,14.7962856042507,NOM
26.71,0.0009484,0.007,0,0,0,0,-19.6570254766013,14.6144899005033,NOM
26.71,0.0009484,0.0075,0,0,0,0,-30.8389268814101,14.4254819640133,NOM
26.71,0.0009484,0.008,0,0,0,0,-28.126214742813,14.2168497958556,NOM
26.71,0.0009484,0.0085,0,0,0,0,-36.4502768493429,14.0095405297882,NOM
26.71,0.0009484,0.009,0,0,0,0,-35.8173000916728,13.7810498495003,NOM
26.71,0.0009484,0.0095,0,0,0,0,-37.3610828946103,13.5589614904393,NOM
26.71,0.0009484,0.01,0,0,0,0,-42.1410966472091,13.3195675686817,NOM
26.71,0.0009484,0.0105,0,0,0,0,-35.099147186698,13.0922373493884,NOM
26.71,0.0009484,0.011,0,0,0,0,-41.9564341731915,12.852246426888,NOM
26.71,0.0009484,0.0115,0,0,0,0,-32.4158599618363,12.6325203105374,NOM
26.71,0.0009484,0.012,0,0,0,0,-38.1726321575983,12.4059306899867,NOM
26.71,0.0009484,0.0125,0,0,0,0,-30.8839050455083,12.2040651144759,NOM
26.71,0.0009484,0.013,0,0,0,0,-30.5226946197238,12.0037195567619,NOM
26.71,0.0009484,0.0135,0,0,0,0,-29.4103982528805,11.8298798578828,NOM
26.71,0.0009484,0.014,0,0,0,0,-20.3670124465604,11.662163017653,NOM
26.71,0.0009484,0.0145,0,0,0,0,-24.8892126921902,11.528543090036,NOM
26.71,0.0009484,0.015,0,0,0,0,-10.2397713822615,11.3994025119653,NOM
26.71,0.0009484,0.0155,0,0,0,0,-14.7049910524267,11.3117155602323,NOM
26.71,0.0009484,0.016,0,0,0,0,0.474338496851697,11.2269531275747,NOM
26.71,0.0009484,0.0165,0,0,0,0,0.81868934389937,11.1846643612819,NOM
26.71,0.0009484,0.017,0,0,0,0,9.86355350999377,11.1449602249381,NOM
26.71,0.0009484,0.0175,0,0,0,0,18.0344621227954,11.1469731613966,NOM
26.71,0.0009484,0.018,0,0,0,0,18.0738786509758,11.1477986649258,NOM
26.71,0.0009484,0.0185,0,0,0,0,32.0063656493353,11.1924642628115,NOM
26.71,0.0009484,0.019,0,0,0,0,25.5563888582175,11.2321422988915,NOM
26.71,0.0009484,0.0195,0,0,0,0,39.6231779119603,11.311601302716,NOM
26.71,0.0009484,0.02,31.7157414977286,35.3476382838658,37.4167979809137,474.987301376431,32.4920508118711,11.3903184593101,NOM
26.71,0.0009484,0.0205,32.0382972322801,35.1264916424283,37.3870081536694,474.987247737779,41.7168632307369,11.4948933216155,NOM
26.71,0.0009484,0.021,32.006224977245,34.8680521584767,37.4267177950535,474.987355601045,44.8058232813052,11.6041052377751,NOM
26.71,0.0009484,0.0215,31.6237990089502,34.6299528010967,37.428452566159,474.987455888081,42.4864194734204,11.7328016019144,NOM
26.71,0.0009484,0.022,30.9250013778973,34.4496689232825,37.3009964059779,474.98742309081,53.8270366572406,11.8629925071551,NOM
26.71,0.0009484,0.0225,29.9663639280951,34.343309980219,36.9722739569647,474.987176068878,46.3257784373111,12.014761451663,NOM
26.71,0.0009484,0.023,28.8223023233239,34.3062580277835,36.3894674178493,474.986676628643,60.7503762114326,12.1621409975022,NOM
26.71,0.0009484,0.0235,27.5826963902905,34.3157855051755,35.5183526991364,474.985926263642,54.4590992877716,12.3307549411601,NOM
26.71,0.0009484,0.024,26.34934439312,34.3351372000436,34.3420126879767,474.98496058874,62.0467519874167,12.4911489954821,NOM
26.71,0.0009484,0.0245,25.230979885478,34.3184446757917,32.8606299047976,474.983843369367,64.0923068600825,12.6721992670095,NOM
26.71,0.0009484,0.025,24.3332560311534,34.2157815355168,31.091224360869,474.982658096855,61.9156756856752,12.8401438845768,NOM
26.71,0.0009484,0.0255,23.7442584225775,33.9780131465773,29.0694747644478,474.981499156875,70.6828068831881,13.0313413200706,NOM
26.71,0.0009484,0.026,23.5170432244893,33.5608123212997,26.8517879717483,474.98046218182,61.6665872893707,13.2079739173051,NOM
26.71,0.0009484,0.0265,23.6566889757446,32.9285410952044,24.5203835118339,474.979633964405,71.5710704547862,13.4021725865979,NOM
26.71,0.0009484,0.027,24.1186555427525,32.0571378850336,22.1896635871408,474.979083536234,64.4122561198378,13.5890863443073,NOM
26.71,0.0009484,0.0275,24.8201924435231,30.9372053400013,20.0143387037395,474.978853518203,68.1646243284959,13.7805225477807,NOM
26.71,0.0009484,0.028,25.6589408274995,29.5767199222796,18.1927578031851,474.978954905861,69.7419580564695,13.9688564646743,NOM
26.71,0.0009484,0.0285,26.5309416661637,28.0039771901096,16.9493838805127,474.979363870624,64.7376800643506,14.1609846308779,NOM
26.71,0.0009484,0.029,27.3437277855073,26.27083242233,16.4738629259464,474.980022280459,72.1948151476067,14.3448456319899,NOM
26.71,0.0009484,0.0295,28.0236625997296,24.4563204239975,16.8294092501681,474.980842101102,64.6993157024153,14.5356420717074,NOM
26.71,0.0009484,0.03,28.5196415208288,22.6696766272761,17.9104010992769,474.98171318232,72.2362199326433,14.7125618058921,NOM
26.71,0.0009484,0.0305,28.8041436264198,21.0508360956473,19.5007933501395,474.982513772599,67.6333109534747,14.8958902542303,NOM
26.71,0.0009484,0.031,28.8730845451554,19.7618661120316,21.3683426316972,474.983123014412,67.310993286368,15.0608500267337,NOM
26.71,0.0009484,0.0315,28.7446189179847,18.9615068307637,23.3198315963556,474.983433659634,69.7066158395465,15.2330252039831,NOM
26.71,0.0009484,0.032,28.4567586383106,18.7601560828727,25.2140081279772,474.983363335988,62.6215379175427,15.3826462459264,NOM
26.71,0.0009484,0.0325,28.0638190690398,19.1757774301632,26.9560717993981,474.982863446681,67.0233698820788,15.5385181369484,NOM
26.71,0.0009484,0.033,27.6308070811764,20.1255435941384,28.4885949747798,474.981924016321,58.0737497406341,15.6729220880276,NOM
26.71,0.0009484,0.0335,27.2260363404901,21.4619575853085,29.7839483647814,474.980574011663,59.0953903659835,15.8057094892902,NOM
26.71,0.0009484,0.034,26.9119902548891,23.0229217864318,30.8378886441297,474.978877166425,56.0118893650809,15.9204791876003,NOM
26.71,0.0009484,0.0345,26.7359441100756,24.6661042363871,31.6640446695256,474.976923505573,49.4079051250621,16.0294131206553,NOM
26.71,0.0009484,0.035,26.7225418360483,26.2827278300159,32.2887690459153,474.974818383305,52.0429830045798,16.1177603250416,NOM
26.71,0.0009484,0.0355,26.87074412668,27.7981670609441,32.74535950229,474.972670151168,42.3915604441824,16.2043118883482,NOM
26.71,0.0009484,0.036,27.156301523766,29.1682774835273,33.0688981945405,474.970577959241,46.011212205761,16.2652821093443,NOM
26.71,0.0009484,0.0365,27.5389063955298,30.3731734457012,33.290762193662,474.968622332381,39.5151899396541,16.326503040769,NOM
26.71,0.0009484,0.037,27.9717316307287,31.4118144415778,33.4346321562598,474.966858253222,37.9278006736889,16.3601687750641,NOM
