Tn,k,time,Ia,Ib,Ic,Vbc,Torque,Speed,Category
26.71,0.0009484,0,0,0,0,0,0,16.4493406684823,phase_fault_C
26.71,0.0009484,0.0005,0,0,0,0,-0.00938742531661733,16.3314076310195,phase_fault_C
26.71,0.0009484,0.001,0,0,0,0,0.218150674068047,16.2155073188129,phase_fault_C
26.71,0.0009484,0.0015,0,0,0,0,-0.0490087612679018,16.10149899871,phase_fault_C
26.71,0.0009484,0.002,0,0,0,0,-0.0712111977165939,15.9883873045845,phase_fault_C
26.71,0.0009484,0.0025,0,0,0,0,-0.276004556943115,15.8766930249074,phase_fault_C
26.71,0.0009484,0.003,0,0,0,0,-2.12015418868284,15.7624282773818,phase_fault_C
26.71,0.0009484,0.0035,0,0,0,0,-1.4733462923634,15.6474110802826,phase_fault_C
26.71,0.0009484,0.004,0,0,0,0,-5.51025574401279,15.5254009749796,phase_fault_C
26.71,0.0009484,0.0045,0,0,0,0,-5.10179449891456,15.3997778511248,phase_fault_C
26.71,0.0009484,0.005,0,0,0,0,-9.75862354200055,15.263861847989,phase_fault_C
26.71,0.0009484,0.0055,0,0,0,0,-12.1397518887982,15.1195986473355,phase_fault_C
26.71,0.0009484,0.006,0,0,0,0,-14.4642585218489,14.9641714498298,phase_fault_C
26.71,0.0009484,0.0065,0,0,0,0,-21.6794648032046,14.7963715538377,phase_fault_C
26.71,0.0009484,0.007,0,0,0,0,-19.6472185716791,14.6146111578507,phase_fault_C
26.71,0.0009484,0.0075,0,0,0,0,-30.826824135417,14.4256445207029,phase_fault_C
26.71,0.0009484,0.008,0,0,0,0,-28.1131519323321,14.2170606162699,phase_fault_C
26.71,0.0009484,0.0085,0,0,0,0,-36.435498320043,14.0098029205853,phase_fault_C
26.71,0.0009484,0.009,0,0,0,0,-35.8026926831554,13.7813676604136,phase_fault_C
26.71,0.0009484,0.0095,0,0,0,0,-37.3459923735467,13.5593336800239,phase_fault_C
26.71,0.0009484,0.01,0,0,0,0,-42.1275247269519,13.3199929731899,phase_fault_C
26.71,0.0009484,0.0105,0,0,0,0,-35.0867188438814,13.0927096741348,phase_fault_C
26.71,0.0009484,0.011,0,0,0,0,-41.9462006475828,12.8527595169608,phase_fault_C
26.71,0.0009484,0.0115,0,0,0,0,-32.4087553264728,12.633062554725,phase_fault_C
26.71,0.0009484,0.012,0,0,0,0,-38.1676972157191,12.4064926885824,phase_fault_C
26.71,0.0009484,0.0125,0,0,0,0,-30.8835677430309,12.2046316175462,phase_fault_C
26.71,0.0009484,0.013,0,0,0,0,-30.5236864215214,12.0042796160159,phase_fault_C
26.71,0.0009484,0.0135,0,0,0,0,-29.4165892195395,11.830418863198,phase_fault_C
26.71,0.0009484,0.014,0,0,0,0,-20.3744344015347,11.6626695116751,phase_fault_C
26.71,0.0009484,0.0145,0,0,0,0,-24.9002548209982,11.5290073989055,phase_fault_C
26.71,0.0009484,0.015,0,0,0,0,-10.2524458429254,11.3998151705807,phase_fault_C
26.71,0.0009484,0.0155,0,0,0,0,-14.7185836974926,11.3120715357462,phase_fault_C
26.71,0.0009484,0.016,0,0,0,0,0.458737795929587,11.2272476888612,phase_fault_C
26.71,0.0009484,0.0165,0,0,0,0,0.804572912825846,11.1848965897349,phase_fault_C
26.71,0.0009484,0.017,0,0,0,0,9.84761916124448,11.1451299196204,phase_fault_C
26.71,0.0009484,0.0175,0,0,0,0,18.0210358073189,11.147083268281,phase_fault_C
26.71,0.0009484,0.018,0,0,0,0,18.0599155161358,11.1478518257181,phase_fault_C
26.71,0.0009484,0.0185,0,0,0,0,31.9939584800597,11.1924647675243,phase_fault_C
26.71,0.0009484,0.019,0,0,0,0,25.5446701690703,11.2320938213831,phase_fault_C
26.71,0.0009484,0.0195,0,0,0,0,39.6114674627276,11.3115071944434,phase_fault_C
26.71,0.0009484,0.02,31.7189898971208,35.3452383585564,37.4160374205999,474.987304807155,32.4820520055018,11.3901808360081,phase_fault_C
26.71,0.0009484,0.0205,32.0413193549569,35.1241754723831,37.3863236140902,474.987251234338,41.705205864306,11.494714508997,phase_fault_C
26.71,0.0009484,0.021,32.0090231237209,34.8658240615864,37.4260108835085,474.98735912705,44.7952938081586,11.6038839234852,phase_fault_C
26.71,0.0009484,0.0215,31.6263884587651,34.6278032745876,37.4276375921132,474.987459421659,42.4741682725657,11.7325390707553,phase_fault_C
